SessionID,Date,ResourceID,MethodID,Duration_Minutes,FocusScore,Passive_Flag,Hour,DateTime
29,2004-06-13 00:34:16.952844,103,5,204,52,0,21,2004-06-13 21:34:16.952844
30,2004-06-14 00:34:16.952844,106,3,235,66,0,17,2004-06-14 17:34:16.952844
31,2004-06-15 00:34:16.952844,102,1,193,67,1,16,2004-06-15 16:34:16.952844
32,2004-06-16 00:34:16.952844,104,3,133,78,0,6,2004-06-16 06:34:16.952844
33,2004-06-17 00:34:16.952844,102,5,31,80,1,8,2004-06-17 08:34:16.952844
34,2004-06-18 00:34:16.952844,102,4,83,84,1,17,2004-06-18 17:34:16.952844
35,2004-06-19 00:34:16.952844,106,4,33,92,0,14,2004-06-19 14:34:16.952844
36,2004-06-20 00:34:16.952844,103,2,73,76,0,10,2004-06-20 10:34:16.952844
37,2004-06-21 00:34:16.952844,106,5,231,53,1,6,2004-06-21 06:34:16.952844
38,2004-06-22 00:34:16.952844,106,5,43,90,1,15,2004-06-22 15:34:16.952844
39,2004-06-23 00:34:16.952844,105,4,44,82,1,22,2004-06-23 22:34:16.952844
40,2004-06-24 00:34:16.952844,102,2,235,57,1,9,2004-06-24 09:34:16.952844
41,2004-06-25 00:34:16.952844,101,1,237,62,0,20,2004-06-25 20:34:16.952844
42,2004-06-26 00:34:16.952844,102,2,111,89,1,13,2004-06-26 13:34:16.952844
43,2004-06-27 00:34:16.952844,105,1,82,87,1,20,2004-06-27 20:34:16.952844
44,2004-06-28 00:34:16.952844,104,5,70,89,1,12,2004-06-28 12:34:16.952844
45,2004-06-29 00:34:16.952844,105,3,74,75,0,20,2004-06-29 20:34:16.952844
46,2004-06-30 00:34:16.952844,106,1,118,81,1,13,2004-06-30 13:34:16.952844
47,2004-07-01 00:34:16.952844,107,3,38,75,0,15,2004-07-01 15:34:16.952844
48,2004-07-02 00:34:16.952844,103,4,165,85,0,9,2004-07-02 09:34:16.952844
49,2004-07-03 00:34:16.952844,104,1,110,82,1,20,2004-07-03 20:34:16.952844
50,2004-07-04 00:34:16.952844,105,2,192,52,0,16,2004-07-04 16:34:16.952844
51,2004-07-05 00:34:16.952844,107,3,62,79,0,8,2004-07-05 08:34:16.952844
52,2004-07-06 00:34:16.952844,102,3,70,81,0,20,2004-07-06 20:34:16.952844
53,2004-07-07 00:34:16.952844,105,5,230,57,0,8,2004-07-07 08:34:16.952844
54,2004-07-08 00:34:16.952844,105,3,41,76,1,20,2004-07-08 20:34:16.952844
55,2004-07-09 00:34:16.952844,101,1,62,90,1,11,2004-07-09 11:34:16.952844
56,2004-07-10 00:34:16.952844,107,3,180,79,0,6,2004-07-10 06:34:16.952844
57,2004-07-11 00:34:16.952844,101,2,128,86,0,19,2004-07-11 19:34:16.952844
58,2004-07-12 00:34:16.952844,101,4,133,77,0,21,2004-07-12 21:34:16.952844
59,2004-07-13 00:34:16.952844,107,5,222,52,0,6,2004-07-13 06:34:16.952844
60,2004-07-14 00:34:16.952844,102,4,130,89,0,22,2004-07-14 22:34:16.952844
61,2004-07-15 00:34:16.952844,103,5,235,52,1,13,2004-07-15 13:34:16.952844
62,2004-07-16 00:34:16.952844,102,5,30,79,0,21,2004-07-16 21:34:16.952844
63,2004-07-17 00:34:16.952844,106,3,171,81,1,11,2004-07-17 11:34:16.952844
64,2004-07-18 00:34:16.952844,106,3,56,83,1,15,2004-07-18 15:34:16.952844
65,2004-07-19 00:34:16.952844,105,4,236,64,0,15,2004-07-19 15:34:16.952844
66,2004-07-20 00:34:16.952844,102,2,119,84,0,10,2004-07-20 10:34:16.952844
67,2004-07-21 00:34:16.952844,103,1,153,87,0,17,2004-07-21 17:34:16.952844
68,2004-07-22 00:34:16.952844,105,2,208,56,0,22,2004-07-22 22:34:16.952844
69,2004-07-23 00:34:16.952844,101,1,81,78,0,19,2004-07-23 19:34:16.952844
70,2004-07-24 00:34:16.952844,101,1,180,81,1,19,2004-07-24 19:34:16.952844
71,2004-07-25 00:34:16.952844,101,5,172,85,0,8,2004-07-25 08:34:16.952844
72,2004-07-26 00:34:16.952844,103,4,58,78,0,17,2004-07-26 17:34:16.952844
73,2004-07-27 00:34:16.952844,105,2,42,81,1,17,2004-07-27 17:34:16.952844
74,2004-07-28 00:34:16.952844,102,4,216,68,1,7,2004-07-28 07:34:16.952844
75,2004-07-29 00:34:16.952844,102,1,115,76,0,7,2004-07-29 07:34:16.952844
76,2004-07-30 00:34:16.952844,106,4,199,62,1,22,2004-07-30 22:34:16.952844
77,2004-07-31 00:34:16.952844,104,4,91,80,1,15,2004-07-31 15:34:16.952844
78,2004-08-01 00:34:16.952844,107,1,57,86,0,6,2004-08-01 06:34:16.952844
79,2004-08-02 00:34:16.952844,101,4,73,94,1,9,2004-08-02 09:34:16.952844
80,2004-08-03 00:34:16.952844,107,1,59,85,0,9,2004-08-03 09:34:16.952844
81,2004-08-04 00:34:16.952844,102,2,157,81,1,7,2004-08-04 07:34:16.952844
82,2004-08-05 00:34:16.952844,102,4,219,50,0,17,2004-08-05 17:34:16.952844
83,2004-08-06 00:34:16.952844,103,4,158,94,0,15,2004-08-06 15:34:16.952844
84,2004-08-07 00:34:16.952844,107,1,234,58,1,18,2004-08-07 18:34:16.952844
85,2004-08-08 00:34:16.952844,107,5,32,81,0,20,2004-08-08 20:34:16.952844
86,2004-08-09 00:34:16.952844,101,5,227,57,0,8,2004-08-09 08:34:16.952844
87,2004-08-10 00:34:16.952844,101,2,184,58,0,18,2004-08-10 18:34:16.952844
88,2004-08-11 00:34:16.952844,104,4,91,79,1,13,2004-08-11 13:34:16.952844
89,2004-08-12 00:34:16.952844,102,4,80,84,0,12,2004-08-12 12:34:16.952844
90,2004-08-13 00:34:16.952844,102,4,201,64,0,13,2004-08-13 13:34:16.952844
91,2004-08-14 00:34:16.952844,104,3,88,83,1,14,2004-08-14 14:34:16.952844
92,2004-08-15 00:34:16.952844,103,4,209,66,1,11,2004-08-15 11:34:16.952844
93,2004-08-16 00:34:16.952844,102,2,91,91,1,9,2004-08-16 09:34:16.952844
94,2004-08-17 00:34:16.952844,102,1,215,69,0,20,2004-08-17 20:34:16.952844
95,2004-08-18 00:34:16.952844,106,3,41,81,0,10,2004-08-18 10:34:16.952844
96,2004-08-19 00:34:16.952844,101,5,159,77,1,10,2004-08-19 10:34:16.952844
97,2004-08-20 00:34:16.952844,105,5,142,79,0,12,2004-08-20 12:34:16.952844
98,2004-08-21 00:34:16.952844,101,5,142,91,0,14,2004-08-21 14:34:16.952844
99,2004-08-22 00:34:16.952844,107,2,216,66,0,12,2004-08-22 12:34:16.952844
100,2004-08-23 00:34:16.952844,105,1,31,76,0,14,2004-08-23 14:34:16.952844
101,2004-08-24 00:34:16.952844,104,1,83,79,0,15,2004-08-24 15:34:16.952844
102,2004-08-25 00:34:16.952844,105,5,158,93,0,9,2004-08-25 09:34:16.952844
103,2004-08-26 00:34:16.952844,105,1,155,76,1,11,2004-08-26 11:34:16.952844
104,2004-08-27 00:34:16.952844,106,5,82,86,1,19,2004-08-27 19:34:16.952844
105,2004-08-28 00:34:16.952844,103,2,189,55,1,14,2004-08-28 14:34:16.952844
106,2004-08-29 00:34:16.952844,102,3,189,53,1,6,2004-08-29 06:34:16.952844
107,2004-08-30 00:34:16.952844,102,3,212,60,1,22,2004-08-30 22:34:16.952844
108,2004-08-31 00:34:16.952844,103,1,213,66,0,18,2004-08-31 18:34:16.952844
109,2004-09-01 00:34:16.952844,104,5,67,79,0,12,2004-09-01 12:34:16.952844
110,2004-09-02 00:34:16.952844,101,5,145,76,0,14,2004-09-02 14:34:16.952844
111,2004-09-03 00:34:16.952844,105,3,227,60,0,16,2004-09-03 16:34:16.952844
112,2004-09-04 00:34:16.952844,103,1,173,75,0,8,2004-09-04 08:34:16.952844
113,2004-09-05 00:34:16.952844,103,3,230,55,0,17,2004-09-05 17:34:16.952844
114,2004-09-06 00:34:16.952844,104,5,237,52,1,8,2004-09-06 08:34:16.952844
115,2004-09-07 00:34:16.952844,105,5,177,78,0,20,2004-09-07 20:34:16.952844
116,2004-09-08 00:34:16.952844,106,5,176,77,1,15,2004-09-08 15:34:16.952844
117,2004-09-09 00:34:16.952844,106,1,176,94,0,6,2004-09-09 06:34:16.952844
118,2004-09-10 00:34:16.952844,103,1,125,81,0,19,2004-09-10 19:34:16.952844
119,2004-09-11 00:34:16.952844,106,5,81,83,0,11,2004-09-11 11:34:16.952844
120,2004-09-12 00:34:16.952844,103,3,190,57,0,7,2004-09-12 07:34:16.952844
121,2004-09-13 00:34:16.952844,106,3,157,81,0,13,2004-09-13 13:34:16.952844
122,2004-09-14 00:34:16.952844,106,3,111,82,1,6,2004-09-14 06:34:16.952844
123,2004-09-15 00:34:16.952844,103,1,158,85,0,9,2004-09-15 09:34:16.952844
124,2004-09-16 00:34:16.952844,106,4,214,67,1,9,2004-09-16 09:34:16.952844
125,2004-09-17 00:34:16.952844,101,1,180,84,1,10,2004-09-17 10:34:16.952844
126,2004-09-18 00:34:16.952844,107,2,128,81,1,14,2004-09-18 14:34:16.952844
127,2004-09-19 00:34:16.952844,102,4,173,90,1,18,2004-09-19 18:34:16.952844
128,2004-09-20 00:34:16.952844,105,1,89,91,0,22,2004-09-20 22:34:16.952844
129,2004-09-21 00:34:16.952844,101,2,31,75,0,6,2004-09-21 06:34:16.952844
130,2004-09-22 00:34:16.952844,107,3,77,86,0,20,2004-09-22 20:34:16.952844
131,2004-09-23 00:34:16.952844,104,2,226,54,0,7,2004-09-23 07:34:16.952844
132,2004-09-24 00:34:16.952844,103,3,189,58,0,21,2004-09-24 21:34:16.952844
133,2004-09-25 00:34:16.952844,103,2,128,93,0,10,2004-09-25 10:34:16.952844
134,2004-09-26 00:34:16.952844,106,1,77,90,1,10,2004-09-26 10:34:16.952844
135,2004-09-27 00:34:16.952844,107,5,160,94,1,7,2004-09-27 07:34:16.952844
136,2004-09-28 00:34:16.952844,105,2,181,50,0,12,2004-09-28 12:34:16.952844
137,2004-09-29 00:34:16.952844,107,2,181,69,0,8,2004-09-29 08:34:16.952844
138,2004-09-30 00:34:16.952844,104,1,104,91,0,22,2004-09-30 22:34:16.952844
139,2004-10-01 00:34:16.952844,106,3,229,53,1,8,2004-10-01 08:34:16.952844
140,2004-10-02 00:34:16.952844,107,2,195,57,1,18,2004-10-02 18:34:16.952844
141,2004-10-03 00:34:16.952844,102,1,113,77,1,12,2004-10-03 12:34:16.952844
142,2004-10-04 00:34:16.952844,107,1,141,77,1,8,2004-10-04 08:34:16.952844
143,2004-10-05 00:34:16.952844,102,2,182,67,1,20,2004-10-05 20:34:16.952844
144,2004-10-06 00:34:16.952844,103,3,157,88,0,15,2004-10-06 15:34:16.952844
145,2004-10-07 00:34:16.952844,102,1,111,76,0,12,2004-10-07 12:34:16.952844
146,2004-10-08 00:34:16.952844,104,3,83,77,1,14,2004-10-08 14:34:16.952844
147,2004-10-09 00:34:16.952844,107,1,237,58,1,10,2004-10-09 10:34:16.952844
148,2004-10-10 00:34:16.952844,103,5,190,53,1,13,2004-10-10 13:34:16.952844
149,2004-10-11 00:34:16.952844,106,5,62,88,1,19,2004-10-11 19:34:16.952844
150,2004-10-12 00:34:16.952844,101,1,50,90,1,9,2004-10-12 09:34:16.952844
151,2004-10-13 00:34:16.952844,102,5,177,82,1,19,2004-10-13 19:34:16.952844
152,2004-10-14 00:34:16.952844,101,1,164,77,1,17,2004-10-14 17:34:16.952844
153,2004-10-15 00:34:16.952844,103,3,174,75,1,7,2004-10-15 07:34:16.952844
154,2004-10-16 00:34:16.952844,105,5,205,61,0,18,2004-10-16 18:34:16.952844
155,2004-10-17 00:34:16.952844,104,5,216,68,0,6,2004-10-17 06:34:16.952844
156,2004-10-18 00:34:16.952844,103,1,148,88,1,12,2004-10-18 12:34:16.952844
157,2004-10-19 00:34:16.952844,101,5,187,55,0,14,2004-10-19 14:34:16.952844
158,2004-10-20 00:34:16.952844,103,4,138,93,0,22,2004-10-20 22:34:16.952844
159,2004-10-21 00:34:16.952844,106,3,211,57,1,18,2004-10-21 18:34:16.952844
160,2004-10-22 00:34:16.952844,106,1,56,76,1,15,2004-10-22 15:34:16.952844
161,2004-10-23 00:34:16.952844,105,3,50,75,1,21,2004-10-23 21:34:16.952844
162,2004-10-24 00:34:16.952844,103,4,57,89,1,11,2004-10-24 11:34:16.952844
163,2004-10-25 00:34:16.952844,105,2,221,50,0,21,2004-10-25 21:34:16.952844
164,2004-10-26 00:34:16.952844,104,4,226,65,0,16,2004-10-26 16:34:16.952844
165,2004-10-27 00:34:16.952844,105,5,176,78,1,8,2004-10-27 08:34:16.952844
166,2004-10-28 00:34:16.952844,104,5,64,91,0,14,2004-10-28 14:34:16.952844
167,2004-10-29 00:34:16.952844,103,3,46,86,0,20,2004-10-29 20:34:16.952844
168,2004-10-30 00:34:16.952844,104,5,187,63,1,18,2004-10-30 18:34:16.952844
169,2004-10-31 00:34:16.952844,104,4,146,80,1,15,2004-10-31 15:34:16.952844
170,2004-11-01 00:34:16.952844,106,2,128,83,1,18,2004-11-01 18:34:16.952844
171,2004-11-02 00:34:16.952844,107,2,66,91,0,22,2004-11-02 22:34:16.952844
172,2004-11-03 00:34:16.952844,103,5,75,77,1,12,2004-11-03 12:34:16.952844
173,2004-11-04 00:34:16.952844,101,2,217,50,1,11,2004-11-04 11:34:16.952844
174,2004-11-05 00:34:16.952844,102,2,145,75,0,18,2004-11-05 18:34:16.952844
175,2004-11-06 00:34:16.952844,101,1,96,92,0,22,2004-11-06 22:34:16.952844
176,2004-11-07 00:34:16.952844,104,5,54,84,0,20,2004-11-07 20:34:16.952844
177,2004-11-08 00:34:16.952844,104,4,83,77,0,9,2004-11-08 09:34:16.952844
178,2004-11-09 00:34:16.952844,106,4,133,88,1,20,2004-11-09 20:34:16.952844
179,2004-11-10 00:34:16.952844,104,2,53,92,0,19,2004-11-10 19:34:16.952844
180,2004-11-11 00:34:16.952844,106,1,61,89,0,16,2004-11-11 16:34:16.952844
181,2004-11-12 00:34:16.952844,107,4,115,76,0,9,2004-11-12 09:34:16.952844
182,2004-11-13 00:34:16.952844,102,5,156,84,1,8,2004-11-13 08:34:16.952844
183,2004-11-14 00:34:16.952844,101,5,159,91,0,7,2004-11-14 07:34:16.952844
184,2004-11-15 00:34:16.952844,107,1,133,75,1,15,2004-11-15 15:34:16.952844
185,2004-11-16 00:34:16.952844,102,4,166,85,1,18,2004-11-16 18:34:16.952844
186,2004-11-17 00:34:16.952844,107,4,205,56,1,21,2004-11-17 21:34:16.952844
187,2004-11-18 00:34:16.952844,107,5,199,52,1,16,2004-11-18 16:34:16.952844
188,2004-11-19 00:34:16.952844,102,4,79,87,1,15,2004-11-19 15:34:16.952844
189,2004-11-20 00:34:16.952844,103,2,89,81,1,14,2004-11-20 14:34:16.952844
190,2004-11-21 00:34:16.952844,107,5,86,78,1,17,2004-11-21 17:34:16.952844
191,2004-11-22 00:34:16.952844,106,2,202,69,1,6,2004-11-22 06:34:16.952844
192,2004-11-23 00:34:16.952844,104,1,94,82,1,19,2004-11-23 19:34:16.952844
193,2004-11-24 00:34:16.952844,102,3,173,88,1,6,2004-11-24 06:34:16.952844
194,2004-11-25 00:34:16.952844,103,5,233,68,0,22,2004-11-25 22:34:16.952844
195,2004-11-26 00:34:16.952844,102,2,172,76,0,16,2004-11-26 16:34:16.952844
196,2004-11-27 00:34:16.952844,104,2,95,93,0,20,2004-11-27 20:34:16.952844
197,2004-11-28 00:34:16.952844,101,4,182,66,1,9,2004-11-28 09:34:16.952844
198,2004-11-29 00:34:16.952844,103,5,209,59,1,20,2004-11-29 20:34:16.952844
199,2004-11-30 00:34:16.952844,104,1,99,89,0,19,2004-11-30 19:34:16.952844
200,2004-12-01 00:34:16.952844,107,4,83,85,1,6,2004-12-01 06:34:16.952844
201,2004-12-02 00:34:16.952844,107,5,217,54,0,14,2004-12-02 14:34:16.952844
202,2004-12-03 00:34:16.952844,107,5,37,86,1,12,2004-12-03 12:34:16.952844
203,2004-12-04 00:34:16.952844,104,1,137,79,1,16,2004-12-04 16:34:16.952844
204,2004-12-05 00:34:16.952844,103,4,132,78,1,7,2004-12-05 07:34:16.952844
205,2004-12-06 00:34:16.952844,105,5,35,87,0,7,2004-12-06 07:34:16.952844
206,2004-12-07 00:34:16.952844,104,2,145,89,1,11,2004-12-07 11:34:16.952844
207,2004-12-08 00:34:16.952844,104,4,128,82,0,19,2004-12-08 19:34:16.952844
208,2004-12-09 00:34:16.952844,104,3,81,90,1,8,2004-12-09 08:34:16.952844
209,2004-12-10 00:34:16.952844,106,2,42,92,1,12,2004-12-10 12:34:16.952844
210,2004-12-11 00:34:16.952844,102,5,153,84,0,12,2004-12-11 12:34:16.952844
211,2004-12-12 00:34:16.952844,104,5,187,68,0,9,2004-12-12 09:34:16.952844
212,2004-12-13 00:34:16.952844,101,4,174,93,0,10,2004-12-13 10:34:16.952844
213,2004-12-14 00:34:16.952844,107,4,121,79,0,22,2004-12-14 22:34:16.952844
214,2004-12-15 00:34:16.952844,101,3,146,83,1,9,2004-12-15 09:34:16.952844
215,2004-12-16 00:34:16.952844,103,2,169,75,1,18,2004-12-16 18:34:16.952844
216,2004-12-17 00:34:16.952844,103,3,87,75,1,21,2004-12-17 21:34:16.952844
217,2004-12-18 00:34:16.952844,103,4,63,90,1,21,2004-12-18 21:34:16.952844
218,2004-12-19 00:34:16.952844,107,1,118,82,1,7,2004-12-19 07:34:16.952844
219,2004-12-20 00:34:16.952844,101,5,146,75,0,6,2004-12-20 06:34:16.952844
220,2004-12-21 00:34:16.952844,103,2,45,81,0,13,2004-12-21 13:34:16.952844
221,2004-12-22 00:34:16.952844,107,1,221,54,0,16,2004-12-22 16:34:16.952844
222,2004-12-23 00:34:16.952844,102,2,51,77,0,20,2004-12-23 20:34:16.952844
223,2004-12-24 00:34:16.952844,105,2,105,90,0,21,2004-12-24 21:34:16.952844
224,2004-12-25 00:34:16.952844,102,4,208,54,0,22,2004-12-25 22:34:16.952844
225,2004-12-26 00:34:16.952844,105,2,115,88,1,22,2004-12-26 22:34:16.952844
226,2004-12-27 00:34:16.952844,106,3,98,89,1,17,2004-12-27 17:34:16.952844
227,2004-12-28 00:34:16.952844,102,5,123,88,0,15,2004-12-28 15:34:16.952844
228,2004-12-29 00:34:16.952844,107,2,219,69,1,11,2004-12-29 11:34:16.952844
229,2004-12-30 00:34:16.952844,101,5,226,61,0,13,2004-12-30 13:34:16.952844
230,2004-12-31 00:34:16.952844,103,5,173,90,1,18,2004-12-31 18:34:16.952844
231,2005-01-01 00:34:16.952844,104,2,114,81,0,7,2005-01-01 07:34:16.952844
232,2005-01-02 00:34:16.952844,105,2,129,75,0,15,2005-01-02 15:34:16.952844
233,2005-01-03 00:34:16.952844,106,3,130,84,0,9,2005-01-03 09:34:16.952844
234,2005-01-04 00:34:16.952844,107,5,98,78,0,17,2005-01-04 17:34:16.952844
235,2005-01-05 00:34:16.952844,103,5,63,94,1,12,2005-01-05 12:34:16.952844
236,2005-01-06 00:34:16.952844,106,3,167,93,0,9,2005-01-06 09:34:16.952844
237,2005-01-07 00:34:16.952844,105,3,215,50,0,12,2005-01-07 12:34:16.952844
238,2005-01-08 00:34:16.952844,107,4,98,87,1,15,2005-01-08 15:34:16.952844
239,2005-01-09 00:34:16.952844,101,4,33,90,1,20,2005-01-09 20:34:16.952844
240,2005-01-10 00:34:16.952844,106,4,53,90,0,17,2005-01-10 17:34:16.952844
241,2005-01-11 00:34:16.952844,104,2,31,91,1,6,2005-01-11 06:34:16.952844
242,2005-01-12 00:34:16.952844,105,5,157,94,1,21,2005-01-12 21:34:16.952844
243,2005-01-13 00:34:16.952844,104,4,181,61,1,10,2005-01-13 10:34:16.952844
244,2005-01-14 00:34:16.952844,103,2,207,52,0,9,2005-01-14 09:34:16.952844
245,2005-01-15 00:34:16.952844,103,4,153,75,0,11,2005-01-15 11:34:16.952844
246,2005-01-16 00:34:16.952844,107,4,190,68,1,22,2005-01-16 22:34:16.952844
247,2005-01-17 00:34:16.952844,103,1,200,54,1,12,2005-01-17 12:34:16.952844
248,2005-01-18 00:34:16.952844,107,3,41,77,0,12,2005-01-18 12:34:16.952844
249,2005-01-19 00:34:16.952844,104,2,94,75,1,14,2005-01-19 14:34:16.952844
250,2005-01-20 00:34:16.952844,107,3,197,59,1,18,2005-01-20 18:34:16.952844
251,2005-01-21 00:34:16.952844,103,5,72,86,1,19,2005-01-21 19:34:16.952844
252,2005-01-22 00:34:16.952844,105,1,58,87,0,21,2005-01-22 21:34:16.952844
253,2005-01-23 00:34:16.952844,101,2,41,88,1,14,2005-01-23 14:34:16.952844
254,2005-01-24 00:34:16.952844,104,5,159,93,0,20,2005-01-24 20:34:16.952844
255,2005-01-25 00:34:16.952844,106,4,64,91,1,10,2005-01-25 10:34:16.952844
256,2005-01-26 00:34:16.952844,104,1,119,82,0,13,2005-01-26 13:34:16.952844
257,2005-01-27 00:34:16.952844,103,2,122,84,1,20,2005-01-27 20:34:16.952844
258,2005-01-28 00:34:16.952844,106,2,119,76,1,14,2005-01-28 14:34:16.952844
259,2005-01-29 00:34:16.952844,106,5,144,83,1,11,2005-01-29 11:34:16.952844
260,2005-01-30 00:34:16.952844,104,5,164,78,1,9,2005-01-30 09:34:16.952844
261,2005-01-31 00:34:16.952844,104,5,87,92,1,16,2005-01-31 16:34:16.952844
262,2005-02-01 00:34:16.952844,103,4,104,78,1,15,2005-02-01 15:34:16.952844
263,2005-02-02 00:34:16.952844,103,3,50,78,0,8,2005-02-02 08:34:16.952844
264,2005-02-03 00:34:16.952844,101,2,167,79,1,6,2005-02-03 06:34:16.952844
265,2005-02-04 00:34:16.952844,101,5,230,52,0,17,2005-02-04 17:34:16.952844
266,2005-02-05 00:34:16.952844,102,2,206,52,1,20,2005-02-05 20:34:16.952844
267,2005-02-06 00:34:16.952844,103,5,65,92,1,20,2005-02-06 20:34:16.952844
268,2005-02-07 00:34:16.952844,101,2,125,79,1,19,2005-02-07 19:34:16.952844
269,2005-02-08 00:34:16.952844,102,3,41,91,0,12,2005-02-08 12:34:16.952844
270,2005-02-09 00:34:16.952844,103,1,212,62,0,22,2005-02-09 22:34:16.952844
271,2005-02-10 00:34:16.952844,103,1,52,77,0,12,2005-02-10 12:34:16.952844
272,2005-02-11 00:34:16.952844,105,3,134,91,0,8,2005-02-11 08:34:16.952844
273,2005-02-12 00:34:16.952844,106,4,142,94,0,8,2005-02-12 08:34:16.952844
274,2005-02-13 00:34:16.952844,107,1,141,87,1,19,2005-02-13 19:34:16.952844
275,2005-02-14 00:34:16.952844,104,4,216,68,1,8,2005-02-14 08:34:16.952844
276,2005-02-15 00:34:16.952844,103,2,206,53,0,12,2005-02-15 12:34:16.952844
277,2005-02-16 00:34:16.952844,103,4,169,83,0,12,2005-02-16 12:34:16.952844
278,2005-02-17 00:34:16.952844,107,1,176,86,1,10,2005-02-17 10:34:16.952844
279,2005-02-18 00:34:16.952844,104,1,38,81,0,8,2005-02-18 08:34:16.952844
280,2005-02-19 00:34:16.952844,102,2,57,88,1,20,2005-02-19 20:34:16.952844
281,2005-02-20 00:34:16.952844,101,2,157,94,0,19,2005-02-20 19:34:16.952844
282,2005-02-21 00:34:16.952844,105,4,112,89,0,9,2005-02-21 09:34:16.952844
283,2005-02-22 00:34:16.952844,107,5,173,79,1,13,2005-02-22 13:34:16.952844
284,2005-02-23 00:34:16.952844,104,4,128,86,1,18,2005-02-23 18:34:16.952844
285,2005-02-24 00:34:16.952844,107,5,54,94,1,13,2005-02-24 13:34:16.952844
286,2005-02-25 00:34:16.952844,103,5,152,78,0,20,2005-02-25 20:34:16.952844
287,2005-02-26 00:34:16.952844,105,1,82,90,0,22,2005-02-26 22:34:16.952844
288,2005-02-27 00:34:16.952844,106,2,86,81,1,10,2005-02-27 10:34:16.952844
289,2005-02-28 00:34:16.952844,106,1,138,84,0,9,2005-02-28 09:34:16.952844
290,2005-03-01 00:34:16.952844,102,2,215,56,0,16,2005-03-01 16:34:16.952844
291,2005-03-02 00:34:16.952844,102,1,171,79,1,15,2005-03-02 15:34:16.952844
292,2005-03-03 00:34:16.952844,104,5,192,60,1,22,2005-03-03 22:34:16.952844
293,2005-03-04 00:34:16.952844,103,1,104,92,0,20,2005-03-04 20:34:16.952844
294,2005-03-05 00:34:16.952844,103,3,105,83,1,11,2005-03-05 11:34:16.952844
295,2005-03-06 00:34:16.952844,101,2,103,86,1,21,2005-03-06 21:34:16.952844
296,2005-03-07 00:34:16.952844,107,5,174,80,0,20,2005-03-07 20:34:16.952844
297,2005-03-08 00:34:16.952844,104,1,36,88,0,13,2005-03-08 13:34:16.952844
298,2005-03-09 00:34:16.952844,106,2,170,82,1,14,2005-03-09 14:34:16.952844
299,2005-03-10 00:34:16.952844,107,2,199,58,0,16,2005-03-10 16:34:16.952844
300,2005-03-11 00:34:16.952844,101,2,207,51,1,7,2005-03-11 07:34:16.952844
301,2005-03-12 00:34:16.952844,105,5,34,79,1,18,2005-03-12 18:34:16.952844
302,2005-03-13 00:34:16.952844,104,1,195,68,1,9,2005-03-13 09:34:16.952844
