AssessmentID,SessionID,Subject,Questions_Total,Questions_Correct,Difficulty_Rating
114,114,Math,41,21,2
115,115,Chemistry,23,16,2
116,116,Physics,14,8,2
117,117,Math,13,9,1
118,118,Science,22,11,1
119,119,Physics,34,18,5
120,120,Science,22,8,4
121,121,English,17,11,4
122,122,English,25,15,2
123,123,English,21,13,4
124,124,Math,20,8,2
125,125,English,22,11,4
126,126,Chemistry,48,31,3
127,127,Science,48,38,3
128,128,English,40,31,2
129,129,Chemistry,35,19,5
130,130,Chemistry,47,33,4
131,131,Physics,28,15,2
132,132,English,38,22,2
133,133,Science,46,42,4
134,134,Science,16,15,2
135,135,Science,28,21,5
136,136,Chemistry,46,26,1
137,137,Physics,28,12,5
138,138,Chemistry,34,27,2
139,139,Chemistry,26,13,1
140,140,Math,48,22,2
141,141,Physics,42,26,5
142,142,Math,20,13,5
143,143,Science,39,19,1
144,144,Math,32,30,4
145,145,English,24,12,5
146,146,Math,27,18,1
147,147,English,31,14,1
148,148,Math,20,10,3
149,149,Physics,13,11,1
150,150,Science,27,19,4
151,151,English,19,12,4
152,152,Chemistry,31,16,5
153,153,Math,20,13,5
154,154,Science,41,16,3
155,155,English,26,14,2
156,156,Science,29,26,3
157,157,Chemistry,43,13,5
158,158,Science,47,38,3
159,159,Physics,14,6,2
160,160,Physics,40,22,5
161,161,Science,48,28,3
162,162,Math,44,41,2
163,163,Physics,45,21,4
164,164,Math,13,7,4
165,165,Science,39,19,4
166,166,Science,48,34,4
167,167,Math,24,21,5
168,168,English,15,8,3
169,169,Math,37,21,1
170,170,Physics,27,16,1
171,171,Chemistry,19,15,1
172,172,Chemistry,13,7,3
173,173,Science,42,18,2
174,174,Math,21,14,2
175,175,Physics,11,10,5
176,176,Physics,32,19,4
177,177,Math,46,33,3
178,178,Math,28,21,2
179,179,Math,36,30,1
180,180,Chemistry,23,21,4
181,181,English,24,12,5
182,182,Physics,38,24,1
183,183,Math,33,26,1
184,184,English,19,12,2
185,185,Science,24,17,1
186,186,Science,18,8,1
187,187,Physics,34,17,4
188,188,Physics,34,31,4
189,189,Science,35,18,5
190,190,English,12,7,4
191,191,Math,31,9,5
192,192,Math,25,15,5
193,193,English,40,33,2
194,194,Chemistry,40,15,4
195,195,English,15,8,1
196,196,Physics,41,34,1
197,197,Math,24,13,5
198,198,Science,39,21,3
199,199,Science,16,14,5
200,200,Physics,26,16,2
201,201,English,42,21,1
202,202,Chemistry,16,12,1
203,203,Math,45,31,4
204,204,English,27,19,1
205,205,English,23,16,5
206,206,Chemistry,36,32,3
207,207,Science,33,16,4
208,208,Chemistry,41,33,2
209,209,Physics,12,8,2
210,210,English,16,11,2
211,211,Chemistry,30,13,5
212,212,Science,22,15,1
213,213,Science,18,12,4
214,214,Science,39,21,1
215,215,Physics,48,33,1
216,216,Math,49,26,1
217,217,Chemistry,39,35,5
218,218,Physics,17,11,5
219,219,Science,24,12,4
220,220,Science,36,24,5
221,221,Physics,36,20,5
222,222,Math,26,15,1
223,223,Physics,24,21,4
224,224,Science,46,18,2
225,225,Science,16,14,2
226,226,Chemistry,13,10,4
227,227,Math,36,33,1
228,228,Math,46,16,3
229,229,English,45,19,3
230,230,English,17,14,2
231,231,Math,46,31,5
232,232,Math,47,30,4
233,233,Science,27,19,4
234,234,Physics,26,15,1
235,235,Chemistry,17,12,2
236,236,English,17,16,4
237,237,Chemistry,40,13,1
238,238,Math,11,8,5
239,239,Chemistry,22,16,1
240,240,Science,44,33,1
241,241,Math,17,13,2
242,242,Chemistry,43,33,5
243,243,Math,38,11,5
244,244,Science,13,5,3
245,245,English,31,22,4
246,246,Chemistry,30,15,4
247,247,Chemistry,37,17,5
248,248,Science,23,16,3
249,249,Math,26,15,2
250,250,Science,13,6,1
251,251,Math,22,20,3
252,252,Math,37,33,1
253,253,English,16,11,5
254,254,Physics,25,23,2
255,255,Science,49,39,4
256,256,Chemistry,16,11,3
257,257,Chemistry,37,20,1
258,258,Science,15,9,1
259,259,Math,12,7,5
260,260,English,32,16,5
261,261,Physics,22,16,2
262,262,Science,25,14,2
263,263,Chemistry,48,31,4
264,264,English,10,7,5
265,265,English,35,14,5
266,266,Math,32,18,3
267,267,Math,37,29,1
268,268,Physics,14,7,2
269,269,Chemistry,48,45,2
270,270,Chemistry,20,8,3
271,271,English,41,21,2
272,272,Physics,46,43,5
273,273,Math,37,30,3
274,274,Math,25,23,1
275,275,Math,10,3,5
276,276,Chemistry,43,16,2
277,277,Science,23,12,3
278,278,Science,16,11,3
279,279,Physics,21,12,2
280,280,English,33,23,5
281,281,Math,16,12,2
282,282,Math,49,38,1
283,283,Chemistry,39,25,1
284,284,Science,25,21,5
285,285,English,36,26,4
286,286,Chemistry,44,22,4
287,287,Math,44,34,5
288,288,Science,49,32,5
289,289,Math,20,14,3
290,290,Chemistry,40,12,4
291,291,Science,39,29,3
292,292,Science,18,9,3
293,293,Math,46,34,4
294,294,Math,21,13,3
295,295,Science,28,20,2
296,296,English,32,17,2
297,297,Chemistry,21,16,3
298,298,English,19,10,5
299,299,Math,13,5,5
300,300,English,21,10,3
301,301,Chemistry,45,26,1
302,302,Math,43,24,5
303,303,Chemistry,34,26,4
304,304,Chemistry,43,29,2
305,305,Science,38,31,5
306,306,Science,13,9,4
307,307,Math,15,10,3
308,308,Math,35,19,2
309,309,Physics,21,11,5
310,310,Physics,47,17,3
311,311,Physics,40,21,4
312,312,Chemistry,47,30,5
313,313,Math,21,16,3
314,314,Chemistry,14,7,1
315,315,Math,22,12,1
316,316,English,46,40,3
317,317,Science,20,10,4
318,318,English,17,8,5
319,319,Math,40,34,3
320,320,Chemistry,38,31,3
321,321,Math,12,3,5
322,322,Chemistry,30,9,1
323,323,Physics,14,11,4
324,324,Physics,14,7,1
325,325,Science,29,25,3
326,326,Chemistry,12,8,3
327,327,Math,14,9,5
328,328,Science,40,20,1
329,329,Science,48,44,3
330,330,Physics,21,8,3
331,331,Physics,38,20,2
332,332,Science,42,38,2
333,333,Science,23,16,5
334,334,Physics,43,26,3
335,335,Science,39,28,4
336,336,Math,49,29,3
337,337,Chemistry,23,13,3
338,338,Math,16,13,3
339,339,Science,19,10,4
340,340,Physics,38,19,2
341,341,Science,46,28,1
342,342,Science,15,6,4
343,343,English,31,15,2
344,344,Physics,28,15,4
345,345,Math,46,22,1
346,346,Science,15,6,4
347,347,Math,10,3,1
348,348,English,10,4,1
349,349,Physics,47,29,4
350,350,Physics,44,39,3
351,351,Chemistry,45,23,4
352,352,Chemistry,14,8,1
353,353,Science,21,14,2
354,354,Chemistry,23,14,2
355,355,English,16,10,5
356,356,Math,45,27,4
357,357,Science,23,19,4
358,358,Science,21,9,5
359,359,Chemistry,29,25,4
360,360,Physics,16,9,5
361,361,Physics,41,23,3
362,362,Math,29,21,3
363,363,Science,41,31,4
364,364,Science,48,29,1
365,365,Chemistry,34,15,5
366,366,Chemistry,44,26,1
367,367,Math,37,23,1
368,368,Chemistry,22,9,4
369,369,English,40,28,4
370,370,Physics,43,24,5
371,371,English,34,24,5
372,372,Math,13,10,2
373,373,Science,41,19,1
374,374,Physics,26,19,4
375,375,Physics,44,17,5
376,376,Physics,11,8,5
377,377,English,24,13,2
378,378,English,32,18,2
379,379,Physics,11,6,2
380,380,Math,32,22,1
381,381,Chemistry,40,18,2
382,382,Math,20,15,2
383,383,Science,44,23,3
384,384,Math,26,19,1
385,385,Math,25,17,3
386,386,English,48,42,1
387,387,Math,21,17,2
388,388,Physics,28,24,5
389,389,English,44,25,3
390,390,English,36,12,5
391,391,Math,25,8,1
392,392,Science,26,22,1
393,393,Chemistry,13,10,1
394,394,English,40,34,4
395,395,Chemistry,14,10,5
396,396,Physics,40,14,3
397,397,English,32,22,2
398,398,English,15,8,5
399,399,Chemistry,39,27,4
400,400,Physics,34,21,4
401,401,Chemistry,47,40,3
402,402,English,11,8,4
403,403,Chemistry,22,12,3
404,404,English,18,12,3
405,405,Chemistry,46,25,3
406,406,Science,16,6,3
407,407,Science,12,10,1
408,408,Chemistry,46,25,5
409,409,Chemistry,27,21,3
410,410,Math,38,21,2
411,411,Math,36,29,3
412,412,English,26,15,5
413,413,English,11,7,4
414,414,Physics,20,11,5
415,415,Physics,14,9,2
416,416,Chemistry,17,6,5
417,417,Physics,20,17,2
418,418,Math,24,14,5
419,419,English,34,16,3
420,420,Science,26,14,2
421,421,Chemistry,45,26,2
422,422,English,30,21,1
423,423,Math,12,8,1
424,424,English,24,21,2
425,425,Math,40,15,2
426,426,English,44,32,3
427,427,Math,45,40,1
428,428,Chemistry,48,27,5
429,429,Physics,37,31,1
430,430,English,12,8,1
431,431,English,45,23,2
432,432,Science,21,15,3
433,433,Math,49,25,3
434,434,Chemistry,18,7,1
435,435,Physics,22,17,5
436,436,Math,20,14,4
437,437,Math,10,7,3
438,438,Chemistry,32,18,5
439,439,English,49,23,4
440,440,English,25,18,5
441,441,Science,36,26,1
442,442,Chemistry,12,10,2
443,443,English,15,8,2
444,444,Science,26,18,2
445,445,Science,36,17,3
446,446,Physics,44,31,3
447,447,Science,13,10,5
448,448,Physics,13,9,5
449,449,English,11,9,3
450,450,Physics,42,30,2
451,451,English,26,18,1
452,452,Chemistry,21,13,5
453,453,Physics,20,16,5
454,454,Chemistry,47,25,4
455,455,Math,30,22,3
456,456,English,35,19,5
457,457,Science,45,18,4
458,458,Math,12,7,5
459,459,Science,36,15,4
460,460,English,25,23,5
461,461,English,13,7,2
462,462,Chemistry,35,19,4
463,463,Physics,43,17,1
464,464,Physics,23,13,3
465,465,Chemistry,47,17,4
466,466,Science,33,27,4
467,467,Science,26,13,1
468,468,Math,30,9,1
469,469,Science,12,11,4
470,470,Math,24,13,2
471,471,Science,13,9,3
472,472,Science,31,25,1
473,473,Chemistry,15,7,5
474,474,Science,42,25,3
475,475,Math,23,16,5
476,476,Physics,32,21,2
477,477,Physics,10,3,5
478,478,Math,32,23,1
479,479,Science,11,8,4
480,480,Science,17,5,3
481,481,Math,49,34,2
482,482,Math,28,14,4
483,483,Math,41,30,4
484,484,Math,10,8,2
485,485,English,31,23,1
486,486,English,24,21,1
487,487,Chemistry,20,14,5
488,488,Science,16,11,2
489,489,Physics,36,29,4
490,490,Chemistry,40,29,3
491,491,Chemistry,18,16,5
492,492,Science,25,16,2
493,493,English,37,27,5
494,494,Math,49,24,1
495,495,English,20,12,2
496,496,Math,41,29,5
497,497,Math,12,7,4
498,498,English,38,32,1
499,499,English,31,20,5
500,500,English,16,11,2
501,501,English,23,7,5
502,502,Math,32,25,4
503,503,Math,21,10,4
504,504,Physics,29,17,3
505,505,Math,10,7,1
506,506,Chemistry,22,11,3
507,507,Math,32,18,2
508,508,Math,47,31,2
509,509,English,45,29,2
510,510,Math,16,11,5
511,511,Chemistry,17,7,4
512,512,English,24,17,3
513,513,Science,29,12,2
514,514,Science,33,27,4
515,515,Science,46,38,3
516,516,Chemistry,17,11,5
517,517,Science,28,14,2
518,518,Chemistry,46,35,1
519,519,English,34,17,4
520,520,English,14,12,5
521,521,English,17,5,2
522,522,Chemistry,21,11,2
523,523,English,19,10,2
524,524,Math,42,38,5
525,525,Chemistry,34,25,3
526,526,Math,30,17,3
527,527,English,20,14,5
528,528,Physics,36,13,2
529,529,Physics,49,45,3
530,530,English,42,34,3
531,531,Math,11,4,1
532,532,English,40,19,5
533,533,Chemistry,42,24,2
534,534,Chemistry,27,12,3
535,535,Physics,11,3,3
536,536,Chemistry,11,4,5
537,537,Science,16,11,5
538,538,Math,11,7,3
539,539,Math,22,14,5
540,540,Math,46,32,1
541,541,English,37,31,5
542,542,English,33,13,2
543,543,English,42,25,3
544,544,Physics,28,22,4
545,545,Science,12,10,3
546,546,Science,34,18,3
547,547,Chemistry,28,10,3
548,548,Math,30,9,3
549,549,Math,16,9,3
550,550,Science,32,20,4
551,551,Chemistry,36,19,5
552,552,Math,12,7,4
553,553,Math,33,18,3
554,554,English,18,10,5
555,555,Math,40,36,2
556,556,Physics,39,30,2
557,557,Math,20,14,5
558,558,English,13,5,1
559,559,English,19,13,2
560,560,Physics,41,22,5
561,561,Physics,47,14,1
562,562,Physics,34,26,4
563,563,English,45,32,1
564,564,Science,46,23,3
565,565,English,21,13,2
566,566,Physics,35,22,3
567,567,Science,40,34,2
568,568,Math,38,22,3
569,569,Science,14,8,4
570,570,Physics,16,11,5
571,571,Math,19,13,5
572,572,Math,28,13,3
573,573,Physics,24,19,5
574,574,Science,14,5,2
575,575,Physics,10,7,4
576,576,Science,36,12,5
577,577,Physics,23,12,4
578,578,Chemistry,37,24,3
579,579,Chemistry,11,10,1
580,580,Math,46,33,3
581,581,Chemistry,33,19,3
582,582,Physics,40,30,1
583,583,Chemistry,29,9,3
584,584,English,30,18,2
585,585,English,37,17,4
586,586,English,27,10,4
587,587,Physics,12,4,1
588,588,Physics,40,22,1
589,589,English,20,9,1
590,590,Physics,25,19,4
591,591,Chemistry,28,15,3
592,592,Chemistry,41,32,1
593,593,Chemistry,46,37,3
594,594,Science,28,19,5
595,595,Math,41,28,1
596,596,Math,30,26,3
597,597,Math,16,7,2
598,598,English,35,32,1
599,599,Science,40,22,2
600,600,Physics,34,12,2
601,601,Math,28,17,2
602,602,Science,15,12,5
603,603,English,17,6,1
604,604,Math,46,15,4
605,605,English,15,9,4
606,606,Science,31,13,5
607,607,Science,11,7,4
608,608,Science,48,27,2
609,609,English,47,27,3
610,610,Chemistry,15,7,4
611,611,English,27,16,5
612,612,Physics,32,21,1
613,613,Math,27,24,2
614,614,Science,36,20,4
615,615,Chemistry,34,19,4
616,616,Science,20,11,5
617,617,Math,12,9,4
618,618,English,17,12,4
619,619,Physics,25,22,4
620,620,English,25,17,5
621,621,Math,21,18,2
622,622,Chemistry,26,24,2
623,623,Physics,29,21,1
624,624,Physics,25,12,1
625,625,Science,37,28,4
626,626,Chemistry,13,5,3
627,627,Science,20,10,5
628,628,Physics,27,11,2
629,629,Science,21,19,3
630,630,Chemistry,42,29,2
631,631,Physics,21,15,5
632,632,Science,22,13,3
633,633,Science,29,16,4
634,634,Physics,11,7,5
635,635,Chemistry,28,21,2
636,636,Math,27,14,1
637,637,Math,10,5,4
638,638,Physics,20,13,1
639,639,Math,33,29,3
640,640,Science,24,18,3
641,641,English,40,36,5
642,642,Math,34,27,5
643,643,English,23,12,1
644,644,Science,49,35,5
645,645,English,29,25,3
646,646,Physics,46,14,2
647,647,Math,46,24,1
648,648,English,31,10,4
649,649,Math,33,16,2
650,650,Chemistry,22,11,3
651,651,Math,44,33,3
652,652,Science,19,10,2
653,653,Physics,41,24,4
654,654,Physics,37,21,4
655,655,English,23,16,5
656,656,Math,25,13,2
657,657,Physics,32,16,3
658,658,Chemistry,18,10,5
659,659,Math,26,22,4
660,660,Math,29,17,4
661,661,Math,42,21,3
662,662,Chemistry,42,17,2
663,663,English,32,23,4
664,664,Science,46,28,5
665,665,Science,25,22,1
666,666,Math,11,8,1
667,667,Physics,28,16,3
668,668,Chemistry,23,12,3
669,669,Chemistry,40,23,1
670,670,Math,17,9,2
671,671,Math,23,12,5
672,672,Math,45,24,2
673,673,Science,30,14,1
674,674,English,24,9,2
675,675,Science,46,30,5
676,676,English,28,26,1
677,677,Science,49,23,2
678,678,Chemistry,24,17,1
679,679,Math,16,11,2
680,680,Math,38,28,4
681,681,Math,36,31,1
682,682,Science,23,13,2
683,683,Science,40,25,2
684,684,Science,28,23,5
685,685,English,41,23,1
686,686,Chemistry,10,6,3
687,687,Math,21,13,5
688,688,Physics,40,20,2
689,689,Math,31,25,4
690,690,Science,23,8,2
691,691,Math,18,13,3
692,692,Physics,36,21,1
693,693,English,42,34,1
694,694,Physics,16,5,3
695,695,Math,29,21,1
696,696,Chemistry,14,11,3
697,697,Chemistry,34,28,4
698,698,Chemistry,23,16,1
699,699,Physics,30,28,1
700,700,Science,11,8,3
701,701,Physics,33,10,3
702,702,Physics,47,40,5
703,703,Chemistry,15,12,2
704,704,Math,11,7,4
705,705,Physics,10,8,4
706,706,Science,46,25,2
707,707,Science,37,26,1
708,708,Chemistry,45,31,5
709,709,Chemistry,22,15,4
710,710,Science,32,23,4
711,711,Physics,18,15,5
712,712,Chemistry,14,6,1
713,713,Math,44,39,5
714,714,Math,21,12,4
715,715,English,22,15,5
716,716,Math,36,25,5
717,717,Physics,38,19,2
718,718,Science,28,25,5
719,719,Math,48,27,3
720,720,Physics,38,26,2
721,721,Chemistry,18,7,5
722,722,Science,23,17,2
723,723,Physics,18,13,1
724,724,Chemistry,37,27,1
725,725,Science,44,20,1
726,726,Physics,10,8,5
727,727,Science,13,4,3
728,728,Physics,23,14,2
729,729,English,20,14,4
730,730,Chemistry,10,4,1
731,731,Math,36,15,1
732,732,Chemistry,17,13,4
733,733,Chemistry,21,9,3
734,734,English,46,29,5
735,735,Science,45,35,1
736,736,Science,13,10,1
737,737,Physics,37,32,4
738,738,Math,45,21,4
739,739,Science,13,6,5
740,740,Chemistry,34,22,1
741,741,Science,20,8,5
742,742,Chemistry,22,15,3
743,743,Chemistry,47,43,5
744,744,Math,22,17,5
745,745,English,38,29,3
746,746,Chemistry,48,43,2
747,747,Chemistry,41,22,4
748,748,Chemistry,39,22,5
749,749,Physics,12,5,2
750,750,Chemistry,38,22,4
751,751,Science,22,18,4
752,752,Science,13,9,4
753,753,Physics,29,17,4
754,754,Math,22,12,2
755,755,English,23,7,5
756,756,Chemistry,33,28,3
757,757,Chemistry,15,11,5
758,758,English,32,25,1
759,759,Chemistry,22,12,3
760,760,English,10,6,2
761,761,Physics,45,26,1
762,762,English,45,38,4
763,763,Physics,35,21,3
764,764,Chemistry,11,6,1
765,765,Chemistry,41,27,2
766,766,Math,12,6,2
767,767,Science,23,13,2
768,768,English,25,18,1
769,769,Math,37,16,5
770,770,Science,45,41,2
771,771,Physics,46,40,5
772,772,Math,44,24,5
773,773,Math,48,25,1
774,774,Chemistry,24,17,1
775,775,Math,45,28,3
776,776,English,34,31,3
777,777,Physics,46,29,3
778,778,English,24,18,5
779,779,English,33,17,4
780,780,Chemistry,27,16,3
781,781,Physics,15,5,4
782,782,Science,17,9,5
783,783,Science,13,5,4
784,784,Science,44,24,2
785,785,Physics,37,26,1
786,786,Physics,31,19,2
787,787,Science,29,21,5
788,788,Physics,18,16,1
789,789,Math,28,18,3
790,790,Physics,46,35,1
791,791,Chemistry,19,14,5
792,792,Chemistry,30,15,1
793,793,English,43,30,5
794,794,Science,29,17,5
795,795,Math,45,25,1
796,796,Science,40,21,1
797,797,Math,13,9,1
798,798,Physics,44,25,5
799,799,Chemistry,40,24,1
800,800,Physics,49,35,2
801,801,English,29,24,2
802,802,Physics,23,12,5
803,803,Science,24,22,3
804,804,Physics,47,25,1
805,805,Physics,24,18,2
806,806,English,13,6,2
807,807,Science,28,21,2
808,808,Math,13,7,5
809,809,Chemistry,21,12,1
810,810,Physics,41,23,1
811,811,Physics,31,21,4
812,812,Math,45,31,1
813,813,Math,23,11,4
814,814,Math,47,33,5
815,815,English,25,13,5
816,816,Chemistry,34,11,1
817,817,Science,23,16,4
818,818,English,12,4,3
819,819,English,46,31,4
820,820,Math,16,8,1
821,821,English,22,17,4
822,822,Science,27,16,4
823,823,Chemistry,41,33,5
824,824,Science,13,3,4
825,825,Math,43,34,1
826,826,Chemistry,24,9,5
827,827,Science,34,21,2
828,828,Physics,44,38,3
829,829,Science,44,22,5
830,830,Physics,44,28,5
831,831,English,12,9,2
832,832,Physics,27,22,5
833,833,English,20,14,1
834,834,English,35,30,2
835,835,Science,21,18,1
836,836,Math,42,13,4
837,837,English,30,22,2
838,838,English,40,22,2
839,839,Physics,16,7,4
840,840,English,33,23,3
841,841,Chemistry,13,9,4
842,842,English,37,32,5
843,843,Math,14,5,1
844,844,Chemistry,37,14,1
845,845,Chemistry,38,11,4
846,846,Physics,49,32,5
847,847,Math,23,11,2
848,848,Physics,37,18,5
849,849,Math,32,25,4
850,850,Math,20,12,4
851,851,Math,48,33,4
852,852,Science,14,5,3
853,853,Math,46,24,5
854,854,Science,46,33,2
855,855,Physics,33,29,1
856,856,Physics,15,6,5
857,857,Science,47,25,1
858,858,Physics,15,8,1
859,859,Math,30,22,4
860,860,Science,38,15,5
861,861,Science,16,9,5
862,862,Math,24,16,4
863,863,Math,14,9,4
864,864,Chemistry,24,8,1
865,865,Math,14,13,1
866,866,Physics,40,34,1
867,867,English,20,18,3
868,868,English,47,24,5
869,869,Chemistry,16,14,1
870,870,Math,31,19,2
871,871,Science,17,15,4
872,872,Chemistry,36,27,1
873,873,Science,22,11,2
874,874,Math,34,28,4
875,875,English,26,10,1
876,876,Chemistry,14,10,5
877,877,Math,41,31,2
878,878,Math,17,5,1
879,879,Science,22,17,3
880,880,Science,46,33,1
881,881,Math,20,10,1
882,882,Science,16,9,5
883,883,Math,38,25,2
884,884,English,33,24,4
885,885,Chemistry,20,11,3
886,886,English,36,30,4
887,887,English,11,9,4
888,888,English,30,21,2
889,889,English,35,22,4
890,890,Math,38,23,4
891,891,Math,35,22,1
892,892,Math,41,27,5
893,893,Physics,24,12,5
894,894,Math,45,17,5
895,895,Math,31,26,1
896,896,Science,16,11,4
897,897,Physics,19,7,2
898,898,Chemistry,31,23,4
899,899,Math,14,8,3
900,900,Science,10,4,4
901,901,Math,16,8,3
902,902,Chemistry,27,17,3
903,903,Math,15,8,2
904,904,English,27,19,1
905,905,Chemistry,42,20,3
906,906,English,18,9,3
907,907,Chemistry,36,27,5
908,908,Math,16,11,4
909,909,Math,45,30,2
910,910,Chemistry,26,24,1
911,911,Science,37,19,5
912,912,Physics,24,11,5
913,913,English,11,6,2
914,914,Math,18,12,2
915,915,English,26,19,2
916,916,Physics,43,14,4
917,917,Math,38,35,4
918,918,English,11,7,5
919,919,Physics,13,5,1
920,920,Chemistry,40,33,1
921,921,English,43,31,3
922,922,Physics,17,7,5
923,923,Physics,43,24,5
924,924,Math,20,12,4
925,925,Math,12,6,1
926,926,Math,16,5,3
927,927,Science,27,15,1
928,928,Chemistry,47,19,5
929,929,Physics,32,25,1
930,930,Science,37,33,2
931,931,Physics,23,17,5
932,932,English,13,12,3
933,933,Science,12,11,4
934,934,Math,32,26,4
935,935,Math,19,17,5
936,936,Chemistry,17,9,1
937,937,Science,23,12,1
938,938,English,35,19,4
939,939,English,11,6,5
940,940,Chemistry,20,7,4
941,941,English,48,43,1
942,942,Math,49,30,3
943,943,Chemistry,26,24,5
944,944,Science,20,15,1
945,945,Chemistry,37,20,4
946,946,English,45,31,5
947,947,Math,49,22,2
948,948,Science,18,7,2
949,949,Chemistry,18,11,4
950,950,Math,37,15,2
951,951,Chemistry,44,35,3
952,952,Math,21,11,3
953,953,Chemistry,22,11,4
954,954,Math,11,3,3
955,955,English,22,17,4
956,956,English,42,34,2
957,957,Math,35,19,3
958,958,English,43,30,2
959,959,Chemistry,46,30,3
960,960,Science,46,41,2
961,961,Science,21,15,1
962,962,Science,39,22,1
963,963,English,22,12,4
964,964,English,22,15,3
965,965,Chemistry,41,23,5
966,966,Physics,27,20,1
967,967,Chemistry,41,21,3
968,968,Chemistry,13,6,5
969,969,Math,45,32,2
970,970,English,11,7,5
971,971,Science,49,26,2
972,972,Chemistry,18,11,4
973,973,Physics,44,17,5
974,974,Science,46,20,5
975,975,Math,32,28,5
976,976,Chemistry,40,20,5
977,977,Chemistry,32,20,4
978,978,English,25,19,5
979,979,Math,15,7,5
980,980,Math,27,13,3
981,981,Science,46,26,4
982,982,Physics,39,23,1
983,983,English,45,30,4
984,984,Math,16,9,4
985,985,English,47,43,1
986,986,Physics,49,27,5
987,987,Physics,35,12,2
988,988,Chemistry,12,3,2
989,989,English,43,35,2
990,990,Math,29,22,4
991,991,Math,15,11,2
992,992,Science,34,15,3
993,993,Physics,28,23,5
994,994,Physics,31,23,4
995,995,Science,48,25,4
996,996,Science,31,28,5
997,997,Science,38,21,5
998,998,Chemistry,11,5,1
999,999,Science,31,10,5
1000,1000,Science,19,10,1
1001,1001,Math,12,5,5
1002,1002,Chemistry,45,13,2
1003,1003,English,22,12,4
1004,1004,Math,16,13,2
1005,1005,Chemistry,42,30,5
1006,1006,English,38,28,1
1007,1007,Chemistry,43,22,5
1008,1008,English,23,9,3
1009,1009,Physics,33,27,1
1010,1010,Chemistry,13,11,5
1011,1011,Physics,40,37,1
1012,1012,Chemistry,32,24,5
1013,1013,Chemistry,30,14,2
1014,1014,Math,15,11,5
1015,1015,Chemistry,22,14,4
1016,1016,Chemistry,20,12,3
1017,1017,Physics,40,30,3
1018,1018,Math,13,10,4
1019,1019,Chemistry,25,13,5
1020,1020,English,14,8,5
1021,1021,Math,23,8,5
